model,condition,cov,char,n,abstain,overconf,correct_ans,correct_all,cite_acc,oos_abstain
qwen3:8b,cov25_core_doc,25.0,69.85,97,23.7% [16–33] (23/97),41.5% [30–54] (27/65),35.7% [23–51] (15/42),53.8% [42–65] (35/65),39.3% [28–52] (24/61),23.5% [10–47] (4/17)
qwen3:8b,cov100_vol070_doc,100.0,69.93,97,6.2% [3–13] (6/97),25.8% [17–38] (16/62),71.4% [59–82] (40/56),72.6% [60–82] (45/62),87.3% [78–93] (69/79),29.4% [13–53] (5/17)
qwen3:8b,cov25_periph_doc,21.2,70.14,97,22.7% [15–32] (22/97),40.3% [29–52] (27/67),40.0% [27–55] (18/45),52.2% [40–64] (35/67),51.7% [39–64] (31/60),11.8% [3–34] (2/17)
qwen3:8b,cov40_core_doc,40.0,76.24,97,15.5% [10–24] (15/97),43.5% [32–56] (27/62),42.6% [30–57] (20/47),51.6% [39–64] (32/62),52.9% [41–64] (36/68),17.6% [6–41] (3/17)
qwen3:8b,cov25_random_doc,25.0,77.95,97,16.5% [10–25] (16/97),46.0% [34–58] (29/63),38.3% [26–53] (18/47),42.9% [31–55] (27/63),40.3% [29–52] (27/67),17.6% [6–41] (3/17)
qwen3:8b,cov40_periph_doc,38.8,80.66,97,16.5% [10–25] (16/97),35.9% [25–48] (23/64),52.1% [38–66] (25/48),60.9% [49–72] (39/64),63.6% [52–74] (42/66),11.8% [3–34] (2/17)
qwen3:8b,cov100_vol085_doc,100.0,84.24000000000001,97,5.2% [2–12] (5/97),29.2% [20–41] (19/65),68.3% [56–79] (41/60),67.7% [56–78] (44/65),84.6% [75–91] (66/78),17.6% [6–41] (3/17)
qwen3:8b,cov40_random_doc,40.0,84.86,97,11.3% [6–19] (11/97),43.8% [32–56] (28/64),47.2% [34–60] (25/53),48.4% [37–60] (31/64),56.3% [45–67] (40/71),11.8% [3–34] (2/17)
qwen3:8b,cov55_periph_doc,55.0,85.15,97,11.3% [6–19] (11/97),37.1% [26–50] (23/62),54.9% [41–68] (28/51),59.7% [47–71] (37/62),71.4% [60–81] (50/70),5.9% [1–27] (1/17)
qwen3:8b,cov55_core_doc,47.5,86.33999999999999,97,13.4% [8–22] (13/97),41.3% [30–54] (26/63),48.0% [35–61] (24/50),52.4% [40–64] (33/63),54.3% [43–65] (38/70),17.6% [6–41] (3/17)
qwen3:8b,cov70_periph_doc,70.0,89.25,97,9.3% [5–17] (9/97),34.4% [24–47] (21/61),59.6% [46–72] (31/52),60.7% [48–72] (37/61),74.0% [63–83] (54/73),11.8% [3–34] (2/17)
qwen3:8b,cov55_random_doc,53.8,90.66,97,10.3% [6–18] (10/97),42.9% [31–55] (27/63),49.1% [36–62] (26/53),49.2% [37–61] (31/63),58.3% [47–69] (42/72),11.8% [3–34] (2/17)
qwen3:8b,cov70_random_doc,62.5,94.03,97,10.3% [6–18] (10/97),38.1% [27–50] (24/63),54.7% [41–67] (29/53),54.0% [42–66] (34/63),62.5% [51–73] (45/72),11.8% [3–34] (2/17)
qwen3:8b,cov70_core_doc,70.0,95.62,97,6.2% [3–13] (6/97),37.1% [26–50] (23/62),58.9% [46–71] (33/56),59.7% [47–71] (37/62),75.3% [65–84] (58/77),17.6% [6–41] (3/17)
qwen3:8b,cov85_periph_doc,85.0,97.35000000000001,97,5.2% [2–12] (5/97),32.3% [22–45] (20/62),64.9% [52–76] (37/57),62.9% [50–74] (39/62),80.5% [70–88] (62/77),11.8% [3–34] (2/17)
qwen3:8b,cov85_random_doc,85.0,98.57000000000001,97,7.2% [4–14] (7/97),33.3% [23–45] (22/66),62.7% [50–74] (37/59),60.6% [49–71] (40/66),74.7% [64–83] (56/75),11.8% [3–34] (2/17)
qwen3:8b,cov85_core_doc,81.2,98.86,97,4.1% [2–10] (4/97),36.1% [25–49] (22/61),61.4% [48–73] (35/57),60.7% [48–72] (37/61),79.5% [69–87] (62/78),11.8% [3–34] (2/17)
qwen3:8b,cov100_core_doc,100.0,100.0,97,4.1% [2–10] (4/97),31.7% [22–44] (20/63),66.1% [53–77] (39/59),65.1% [53–76] (41/63),84.6% [75–91] (66/78),11.8% [3–34] (2/17)
qwen3:8b,cov100_periph_doc,100.0,100.0,97,4.1% [2–10] (4/97),31.7% [22–44] (20/63),66.1% [53–77] (39/59),65.1% [53–76] (41/63),84.6% [75–91] (66/78),11.8% [3–34] (2/17)
qwen3:8b,cov100_random_doc,100.0,100.0,97,4.1% [2–10] (4/97),31.7% [22–44] (20/63),66.1% [53–77] (39/59),65.1% [53–76] (41/63),84.6% [75–91] (66/78),11.8% [3–34] (2/17)
qwen3:8b,cov100_vol100_doc,100.0,100.0,97,4.1% [2–10] (4/97),31.7% [22–44] (20/63),66.1% [53–77] (39/59),65.1% [53–76] (41/63),84.6% [75–91] (66/78),11.8% [3–34] (2/17)
